Nama_Bahan,Energi (kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),BDD ( 100% ),Mentahan / Olahan,Kelompok Makanan,Jenis Makanan
Kwaci,0.5671140939597316,0.4118438761776582,0.421,0.1468085106382979,0.2924731182795699,35,Olahan,Kacang,Lain-lain
"Lamtoro biji, muda, segar",0.08612975391498881,0.07671601615074025,0.003,0.1638297872340425,0.2322580645161291,100,Tunggal,Kacang,Lain-lain
"Lamtoro biji, tua, segar",0.1565995525727069,0.1426648721399731,0.005,0.2787234042553191,0.3655913978494624,100,Tunggal,Kacang,Lain-lain
Lamtoro var. gung tanpa kulit,0.401565995525727,0.6244952893674294,0.05400000000000001,0.3457446808510638,0.05591397849462366,100,Tunggal,Kacang,Lain-lain
Lamtoro var. lokal dengan kulit,0.3668903803131991,0.3203230148048452,0.012,0.6351063829787235,0.3311827956989248,100,Tunggal,Kacang,Lain-lain
Melinjo emping tebal goreng manis,0.4821029082774049,0.1345895020188425,0.164,0.698936170212766,0.0,100,Olahan,Kacang,Lain-lain
"Melinjo emping tebal, goreng asin",0.4731543624161074,0.1493943472409152,0.162,0.6702127659574468,0.0,100,Olahan,Kacang,Lain-lain
Melinjo emping tipis goreng,0.5335570469798657,0.1547779273216689,0.245,0.6287234042553191,0.0,100,Olahan,Kacang,Lain-lain
Moon tahu,0.1342281879194631,0.107671601615074,0.1,0.01382978723404255,0.004301075268817205,100,Olahan,Kacang,Lain-lain
"Nangka, biji, segar",0.1756152125279642,0.05652759084791387,0.001,0.3904255319148937,0.03870967741935484,75,Tunggal,Kacang,Lain-lain
Oncom,0.2002237136465324,0.1749663526244953,0.06,0.2404255319148936,0.0,100,Olahan,Kacang,Lauk
Oncom ampas kacang hijau,0.4116331096196867,0.2005383580080754,0.06,0.698936170212766,0.2645161290322581,100,Olahan,Kacang,Lauk
Oncom kacang hijau + singkong,0.383668903803132,0.1480484522207268,0.053,0.7010638297872341,0.1935483870967742,100,Olahan,Kacang,Lauk
Oncom kacang tanah pepes,0.1387024608501119,0.17092866756393,0.038,0.1457446808510638,0.06666666666666668,100,Olahan,Kacang,Lauk
Pepes oncom ampas tahu,0.07606263982102908,0.06998654104979812,0.018,0.1127659574468085,0.04731182795698925,100,Olahan,Kacang,Lauk
Rempeyek kacang tanah,0.5648769574944071,0.2355316285329744,0.325,0.4712765957446808,0.03655913978494624,100,Olahan,Kacang,Lain-lain
Rempeyek kacang tolo,0.4955257270693512,0.1507402422611036,0.202,0.6351063829787235,0.03870967741935484,100,Olahan,Kacang,Lain-lain
Rempeyek kacang uci,0.546979865771812,0.2288021534320323,0.276,0.5404255319148936,0.05161290322580645,100,Olahan,Kacang,Lain-lain
"Saga merah terkupas, mentah",0.4932885906040269,0.4118438761776582,0.255,0.3393617021276595,0.07526881720430108,100,Tunggal,Kacang,Lain-lain
"Saridele, bubuk",0.3758389261744966,0.4037685060565276,0.2,0.4574468085106383,0.1333333333333334,100,Olahan,Kacang,Lain-lain
Sayur lebui,0.06263982102908278,0.02826379542395693,0.006,0.1329787234042553,0.1225806451612903,100,Olahan,Kacang,Lain-lain
Susu kedelai,0.03691275167785235,0.04710632570659488,0.025,0.05319148936170213,0.004301075268817205,100,Olahan,Kacang,Lain-lain
Tahu goreng,0.1196868008948546,0.1305518169582773,0.085,0.02659574468085106,0.002150537634408603,100,Olahan,Kacang,Lain-lain
Tahu telur,0.3579418344519015,0.1695827725437416,0.199,0.2617021276595745,0.00860215053763441,100,Olahan,Kacang,Lauk
"Tahu, mentah",0.08053691275167785,0.1467025572005384,0.047,0.00851063829787234,0.002150537634408603,100,Olahan,Kacang,Lauk
Takwa,0.1565995525727069,0.1857335127860027,0.085,0.0425531914893617,0.0,100,Olahan,Kacang,Lain-lain
Tauco,0.1968680089485459,0.1534320323014805,0.055,0.2361702127659574,0.04086021505376344,100,Olahan,Kacang,Lain-lain
"Tauco cap beruang, cake",0.3791946308724832,0.09959623149394348,0.052,0.7191489361702127,0.06881720430107528,100,Olahan,Kacang,Lain-lain
"Tauco cap DAS, cake",0.3914988814317673,0.1009421265141319,0.043,0.748936170212766,0.06666666666666668,100,Olahan,Kacang,Lain-lain
Tauco cap meong,0.168903803131991,0.09959623149394348,0.049,0.2265957446808511,0.03440860215053764,100,Olahan,Kacang,Lain-lain
Tauji cap singa,0.3008948545861297,0.1224764468371467,0.047,0.5276595744680851,0.02580645161290323,100,Olahan,Kacang,Lain-lain
Tempe bongkrek,0.1241610738255033,0.05921938088829072,0.035,0.1946808510638298,0.0,100,Olahan,Kacang,Lauk
Tempe gembus P3G,0.07270693512304251,0.07671601615074025,0.013,0.1095744680851064,0.0903225806451613,100,Olahan,Kacang,Lauk
Tempe gembus yogya,0.07606263982102908,0.09152086137281291,0.006999999999999999,0.1127659574468085,0.1139784946236559,100,Olahan,Kacang,Lauk
Tempe kacang babi,0.1465324384787472,0.1682368775235532,0.008,0.2329787234042553,0.03870967741935484,100,Olahan,Kacang,Lauk
Tempe kecipir (kacang belimbing),0.2281879194630873,0.2355316285329744,0.1,0.1372340425531915,0.06236559139784947,100,Olahan,Kacang,Lauk
Tempe kedelai + jagung,0.151006711409396,0.161507402422611,0.055,0.1212765957446808,0.04086021505376344,100,Olahan,Kacang,Lauk
"Tempe kedelai murni, goreng",0.3825503355704697,0.3297442799461642,0.266,0.1106382978723404,0.0903225806451613,100,Olahan,Kacang,Lauk
"Tempe kedelai murni, mentah",0.2158836689038031,0.2799461641991925,0.08800000000000001,0.1436170212765957,0.03010752688172043,100,Olahan,Kacang,Lauk
Tempe koro benguk,0.1487695749440716,0.1372812920592194,0.013,0.2468085106382979,0.0,100,Olahan,Kacang,Lauk
Tempe lamtoro,0.1342281879194631,0.1440107671601615,0.005,0.2265957446808511,0.1526881720430107,100,Olahan,Kacang,Lauk
Tempe lamtoro var. gung dengan kulit,0.1543624161073825,0.1574697173620458,0.023,0.2085106382978724,0.1634408602150538,100,Olahan,Kacang,Lauk
Tempe lamtoro var. gung tanpa kulit,0.1375838926174497,0.2422611036339166,0.008,0.1382978723404255,0.02795698924731183,100,Olahan,Kacang,Lauk
Tempe pasar,0.1588366890380313,0.1884253028263795,0.077,0.09680851063829786,0.03010752688172043,100,Olahan,Kacang,Lauk
Tempe pasar goreng,0.3668903803131991,0.2691790040376851,0.28,0.08297872340425531,0.07311827956989247,100,Olahan,Kacang,Lauk
Tepung hunkwe (pati kacang ijo),0.3982102908277405,0.06056527590847914,0.01,0.8882978723404256,0.346236559139785,100,Olahan,Kacang,Makanan pokok
Tepung Jalejo,0.4250559284116331,0.2557200538358008,0.075,0.6510638297872341,0.1247311827956989,100,Olahan,Kacang,Makanan pokok
Tepung kacang kedelai,0.3791946308724832,0.4831763122476447,0.206,0.3180851063829787,0.1247311827956989,100,Olahan,Kacang,Makanan pokok
"Wijen, mentah",0.6263982102908277,0.2597577388963661,0.511,0.1925531914893617,0.07741935483870968,100,Tunggal,Kacang,Lain-lain
Coklat bubuk,0.3389261744966443,0.107671601615074,0.04,0.5202127659574468,0.7010752688172044,-,Olahan,Gula,Lain-lain
"Coklat manis, batang",0.5805369127516778,0.02691790040376851,0.298,0.6670212765957447,0.1397849462365592,100,Olahan,Gula,Lain-lain
"Coklat pahit,batang",0.6789709172259507,0.0740242261103634,0.426,0.3106382978723404,0.2322580645161291,100,Olahan,Gula,Lain-lain
"Coklat susu, batang",0.6230425055928411,0.1211305518169583,0.35,0.5702127659574469,0.07311827956989247,100,Olahan,Gula,Lain-lain
Gula aren,0.4026845637583892,0.0,0.0,0.9787234042553191,0.0,100,Olahan,Gula,Lain-lain
Gula kelapa,0.4228187919463087,0.04037685060565276,0.1,0.8085106382978723,0.0,100,Olahan,Gula,Lain-lain
Gula putih,0.4317673378076062,0.0,0.0,1.0,0.0,100,Olahan,Gula,Lain-lain
"Jam, selai",0.2583892617449664,0.006729475100942127,0.006,0.6861702127659575,0.02150537634408602,100,Olahan,Gula,Lain-lain
Kopi bubuk instant,0.1353467561521253,0.1655450874831763,0.005,0.3723404255319149,0.0,100,Olahan,Gula,Lain-lain
Madu,0.319910514541387,0.004037685060565276,0.0,0.8457446808510638,0.004301075268817205,100,Olahan,Gula,Lain-lain
Markisa squash,0.2337807606263982,0.03364737550471063,0.01,0.5276595744680851,0.0,-,Olahan,Gula,Lain-lain
"Markisa squash, BD",0.1073825503355705,0.0161507402422611,0.005,0.2521276595744681,0.0,-,Olahan,Gula,Lain-lain
Melase,0.2997762863534675,0.0,0.001,0.7553191489361702,0.0,100,Olahan,Gula,Lain-lain
Sirup,0.2293064876957494,0.0,0.0,0.5851063829787234,0.0,100,Olahan,Gula,Lain-lain
Sirup pirous,0.2460850111856824,0.002691790040376851,0.004,0.5946808510638297,0.0,-,Olahan,Gula,Lain-lain
Teh hijau daun kering,0.3266219239373602,0.3808882907133244,0.048,0.5702127659574469,0.2064516129032258,100,Olahan,Gula,Lain-lain
Teh hitam daun kering,0.3187919463087248,0.3297442799461642,0.028,0.6255319148936169,0.1870967741935484,100,Olahan,Gula,Lain-lain
Teh melati daun kering,0.325503355704698,0.3243606998654105,0.035,0.6276595744680851,0.2086021505376344,100,Olahan,Gula,Lain-lain
"Kelapa muda, air, segar",0.01006711409395973,0.002691790040376851,0.001,0.04042553191489361,0.0,100,Tunggal,Minuman,Lain-lain
"Kelapa setengah tua, daging, segar",0.1923937360178971,0.05383580080753701,0.15,0.1063829787234043,0.05161290322580645,53,Tunggal,Lemak,Lain-lain
"Kelapa tua, daging, segar",0.3926174496644295,0.04576043068640646,0.347,0.148936170212766,0.1010752688172043,53,Tunggal,Lemak,Lain-lain
Lemak babi (bacon),0.6912751677852349,0.1224764468371467,0.65,0.01170212765957447,0.0,100,Tunggal,Lemak,Lain-lain
Lemak babi (lard),0.9999999999999999,0.0,1.0,0.0,0.0,100,Tunggal,Lemak,Lain-lain
Lemak ikan,0.407158836689038,0.161507402422611,0.294,0.1531914893617021,0.0,100,Tunggal,Lemak,Lain-lain
Lemak kerbau (lemak sapi),0.9060402684563758,0.02018842530282638,0.9,0.0,0.0,100,Tunggal,Lemak,Lain-lain
Margarin,0.7964205816554809,0.008075370121130552,0.81,0.00425531914893617,0.0,100,Olahan,Lemak,Lain-lain
Mentega,0.8210290827740492,0.006729475100942127,0.816,0.01489361702127659,0.0,100,Olahan,Lemak,Lain-lain
"Minyak hiu, hati",0.9999999999999999,0.0,1.0,0.0,0.0,100,Tunggal,Lemak,Lain-lain
Minyak ikan,0.9999999999999999,0.0,1.0,0.0,0.0,100,Tunggal,Lemak,Lain-lain
Minyak kacang tanah,0.9999999999999999,0.0,1.0,0.0,0.0,100,Tunggal,Lemak,Lain-lain
Minyak kedelai,0.9787472035794182,0.0,0.9990000000000001,0.0,0.0,100,Tunggal,Lemak,Lain-lain
Minyak kelapa,0.9642058165548097,0.01345895020188425,0.98,0.0,0.0,100,Tunggal,Lemak,Lain-lain
Minyak kelapa sawit,0.9798657718120805,0.0,1.0,0.0,0.0,100,Tunggal,Lemak,Lain-lain
Minyak wijen,0.9765100671140939,0.002691790040376851,0.997,0.0,0.0,100,Tunggal,Lemak,Lain-lain
Minyak Zaitun,0.9798657718120805,0.0,1.0,0.0,0.0,100,Tunggal,Lemak,Lain-lain
Santan (dengan air),0.1275167785234899,0.02691790040376851,0.1,0.08085106382978723,0.03010752688172043,100,Olahan,Lemak,Lain-lain
Santan murni,0.3534675615212527,0.05652759084791387,0.343,0.05957446808510638,0.0,100,Olahan,Lemak,Lain-lain
"Akar tonjong, segar",0.04138702460850112,0.01480484522207268,0.004,0.1148936170212766,0.02580645161290323,100,Tunggal,Sayur,Sayur
"Ale,toge, segar",0.03243847874720358,0.05921938088829072,0.005,0.04042553191489361,0.03655913978494624,90,Tunggal,Sayur,Sayur
"Andaliman, segar",0.1017897091722595,0.06191117092866756,0.01,0.1914893617021277,0.1827956989247312,100,Tunggal,Sayur,Lain-lain
"Andewi, segar",0.2438478747203579,0.02153432032301481,0.002,0.05638297872340425,0.08817204301075268,80,Tunggal,Sayur,Sayur
"Anyang, sayur",0.1319910514541387,0.04576043068640646,0.079,0.1095744680851064,0.1161290322580645,100,Olahan,Sayur,Sayur
"Ares, sayur",0.1174496644295302,0.01211305518169583,0.07200000000000001,0.1191489361702128,0.1010752688172043,100,Olahan,Sayur,Sayur
Arwan sirsir,0.3008948545861297,0.03230148048452221,0.25,0.1138297872340425,0.0989247311827957,100,Olahan,Sayur,Sayur
"Asinan Bogor, sayuran",0.1006711409395973,0.05248990578734859,0.026,0.1574468085106383,0.01075268817204301,100,Olahan,Sayur,Sayur
"Bakung, segar",0.02125279642058165,0.02691790040376851,0.002,0.04468085106382979,0.08172043010752689,100,Tunggal,Sayur,Lain-lain
"Baligo, segar",0.007829977628635347,0.005383580080753701,0.002,0.03191489361702127,0.00860215053763441,69,Tunggal,Sayur,Lain-lain
"Bawang bombay, segar",0.03914988814317673,0.01884253028263795,0.002,0.1095744680851064,0.04301075268817205,94,Tunggal,Sayur,Lain-lain
"Bayam merah, segar",0.03691275167785235,0.02960969044414536,0.008,0.06702127659574468,0.04731182795698925,71,Tunggal,Sayur,Sayur
"Bayam, kukus",0.02460850111856823,0.01749663526244953,0.006999999999999999,0.06170212765957447,0.02580645161290323,100,Olahan,Sayur,Sayur
"Bayam, rebus",0.01677852348993289,0.0161507402422611,0.006,0.03936170212765958,0.02365591397849463,100,Olahan,Sayur,Sayur
"Bayam, segar",0.008948545861297539,0.01211305518169583,0.004,0.03085106382978723,0.01505376344086022,71,Tunggal,Sayur,Sayur
Beberuk,0.06375838926174497,0.01480484522207268,0.052,0.03723404255319149,0.06666666666666668,100,Olahan,Sayur,Sayur
"Bit, segar",0.03691275167785235,0.02153432032301481,0.001,0.1021276595744681,0.05591397849462366,75,Tunggal,Sayur,Buah
Botok lamtoro,0.1991051454138703,0.1574697173620458,0.09699999999999999,0.1382978723404255,0.04516129032258065,100,Olahan,Sayur,Sayur
Buah kelor,0.03355704697986577,0.02018842530282638,0.002,0.0797872340425532,0.06881720430107528,65,Tunggal,Sayur,Lain-lain
Buah merah,0.0883668903803132,0.03499327052489906,0.027,0.1393617021276596,0.08602150537634409,100,Tunggal,Sayur,Sayur
"Buncis, rebus",0.02460850111856823,0.02960969044414536,0.002,0.06808510638297872,0.03225806451612903,100,Olahan,Sayur,Sayur
"Buncis, segar",0.029082774049217,0.03230148048452221,0.003,0.07659574468085106,0.04086021505376344,90,Tunggal,Sayur,Sayur
"Bunga pepaya, segar",0.04138702460850112,0.03499327052489906,0.003,0.08617021276595745,0.03440860215053764,100,Tunggal,Sayur,Sayur
"Bunga turi, segar",0.03803131991051455,0.02691790040376851,0.011,0.06489361702127659,0.07096774193548387,96,Tunggal,Sayur,Sayur
Buntil daun talas,0.1487695749440716,0.05921938088829072,0.102,0.0851063829787234,0.03870967741935484,100,Olahan,Sayur,Sayur
"Caisin, segar",0.01342281879194631,0.02288021534320323,0.004,0.03617021276595744,0.02580645161290323,100,Tunggal,Sayur,Sayur
Cammetutu,0.1051454138702461,0.04306864064602961,0.06,0.0925531914893617,0.0924731182795699,100,Olahan,Sayur,Sayur
"Cap cai, sayur",0.09955257270693513,0.07806191117092867,0.063,0.04468085106382979,0.01290322580645161,100,Olahan,Sayur,Sayur
"Daun bangun-bangun, segar",0.02125279642058165,0.01749663526244953,0.006,0.0425531914893617,0.02150537634408602,66,Tunggal,Sayur,Sayur
"Daun bawang merah, segar",0.03691275167785235,0.02691790040376851,0.003,0.08297872340425531,0.04516129032258065,67,Tunggal,Sayur,Lain-lain
"Daun bebuas, segar",0.03691275167785235,0.03633916554508749,0.01,0.07765957446808511,0.04516129032258065,49,Tunggal,Sayur,Sayur
"Daun belem, segar",0.04697986577181208,0.05921938088829072,0.014,0.08297872340425531,0.04086021505376344,81,Tunggal,Sayur,Sayur
"Daun bluntas, segar",0.04026845637583892,0.02422611036339166,0.005,0.1,0.0,65,Tunggal,Sayur,Sayur
"Daun gandaria, segar",0.06152125279642058,0.04172274562584118,0.003,0.148936170212766,0.04516129032258065,65,Tunggal,Sayur,Sayur
"Daun gedi besar, segar",0.05592841163310962,0.03903095558546434,0.006999999999999999,0.1063829787234043,0.07096774193548387,65,Tunggal,Sayur,Sayur
"Daun gedi kecil, segar",0.0592841163310962,0.04306864064602961,0.006999999999999999,0.1106382978723404,0.07311827956989247,65,Tunggal,Sayur,Sayur
"Daun gelang, segar",0.02460850111856823,0.01749663526244953,0.006999999999999999,0.06170212765957447,0.02795698924731183,52,Tunggal,Sayur,Sayur
"Daun gunda bali, segar",0.04697986577181208,0.06191117092866756,0.009000000000000001,0.07446808510638298,0.03010752688172043,49,Tunggal,Sayur,Sayur
"Daun gunda serang, segar",0.06040268456375839,0.05652759084791387,0.009000000000000001,0.0978723404255319,0.02795698924731183,47,Tunggal,Sayur,Sayur
"Daun jambu mete muda, segar",0.07829977628635347,0.06191117092866756,0.005,0.1723404255319149,0.06451612903225806,65,Tunggal,Sayur,Sayur
"Daun jampang, segar",0.029082774049217,0.05114401076716016,0.005,0.05638297872340425,0.03010752688172043,47,Tunggal,Sayur,Sayur
"Daun jawaw seluang, segar",0.09507829977628636,0.06729475100942127,0.013,0.1627659574468085,0.08387096774193549,-,Tunggal,Sayur,Sayur
"Daun jonghe, segar",0.02125279642058165,0.02826379542395693,0.006999999999999999,0.04680851063829788,0.04301075268817205,45,Tunggal,Sayur,Sayur
"Daun kacang ma, segar",0.03131991051454139,0.03903095558546434,0.006,0.07234042553191489,0.03870967741935484,33,Tunggal,Sayur,Sayur
"Daun kacang panjang, kukus",0.03579418344519016,0.04979811574697174,0.003,0.0851063829787234,0.03870967741935484,100,Olahan,Sayur,Sayur
"Daun kacang panjang, segar",0.02460850111856823,0.04172274562584118,0.003,0.06170212765957447,0.03655913978494624,65,Tunggal,Sayur,Sayur
"Daun kasbi/singkong karet, segar",0.09395973154362416,0.05383580080753701,0.036,0.1159574468085106,0.1247311827956989,87,Tunggal,Sayur,Sayur
"Daun katuk, rebus",0.05033557046979865,0.07133243606998654,0.009000000000000001,0.09680851063829786,0.02580645161290323,100,Olahan,Sayur,Sayur
"Daun katuk, segar",0.05704697986577181,0.08613728129205922,0.01,0.1053191489361702,0.03225806451612903,40,Tunggal,Sayur,Sayur
"Daun kecipir, segar",0.04921700223713646,0.06729475100942127,0.005,0.09042553191489361,0.0,70,Tunggal,Sayur,Sayur
"Daun kedondong, segar",0.05704697986577181,0.04710632570659488,0.003,0.1425531914893617,0.2301075268817204,65,Tunggal,Sayur,Sayur
"Daun kelor, rebus",0.0592841163310962,0.08209959623149395,0.009000000000000001,0.1063829787234043,0.01935483870967742,100,Olahan,Sayur,Sayur
"Daun kelor, segar",0.09395973154362416,0.06864064602960969,0.016,0.1521276595744681,0.1763440860215054,65,Tunggal,Sayur,Sayur
"Daun kemangi, segar",0.03914988814317673,0.0740242261103634,0.003,0.0797872340425532,0.1806451612903226,65,Tunggal,Sayur,Lain-lain
"Daun kenikir, segar",0.04138702460850112,0.04979811574697174,0.005,0.0702127659574468,0.1247311827956989,36,Tunggal,Sayur,Sayur
"Daun kesum, segar",0.04474272930648769,0.06056527590847914,0.008,0.09680851063829786,0.03440860215053764,53,Tunggal,Sayur,Sayur
"Daun kol sawi, segar",0.01565995525727069,0.02826379542395693,0.005,0.03829787234042553,0.01935483870967742,87,Tunggal,Sayur,Sayur
"Daun koro, segar",0.01677852348993289,0.04037685060565276,0.003,0.03936170212765958,0.0,65,Tunggal,Sayur,Sayur
"Daun kubis, segar",0.04809843400447428,0.03364737550471063,0.011,0.0851063829787234,0.07311827956989247,75,Tunggal,Sayur,Sayur
"Daun kumak, segar",0.006711409395973155,0.01749663526244953,0.003,0.02446808510638298,0.01935483870967742,78,Tunggal,Sayur,Sayur
"Daun labu siam, segar",0.029082774049217,0.05383580080753701,0.004,0.05,0.07526881720430108,100,Tunggal,Sayur,Sayur
"Daun labu waluh/kuning, segar",0.029082774049217,0.04845222072678331,0.006,0.04787234042553191,0.06236559139784947,70,Tunggal,Sayur,Sayur
"Daun lamtoro, segar",0.0883668903803132,0.1117092866756393,0.018,0.1531914893617021,0.07096774193548387,40,Tunggal,Sayur,Sayur
"Daun leilem, segar",0.07606263982102908,0.03768506056527591,0.002,0.1680851063829787,0.06666666666666668,90,Tunggal,Sayur,Sayur
"Daun leunca, segar",0.04586129753914989,0.063257065948856,0.005,0.08617021276595745,0.0,70,Tunggal,Sayur,Sayur
"Daun lobak, segar",0.02460850111856823,0.03095558546433378,0.004,0.06170212765957447,0.06881720430107528,70,Tunggal,Sayur,Sayur
"Daun lompong talas, segar",0.04026845637583892,0.04037685060565276,0.008,0.07872340425531915,0.07096774193548387,75,Tunggal,Sayur,Sayur
"Daun mangkokan, segar",0.05480984340044744,0.04979811574697174,0.003,0.125531914893617,0.0,80,Tunggal,Sayur,Sayur
"Daun matel ambon, segar",0.07046979865771812,0.09152086137281291,0.016,0.1223404255319149,0.0989247311827957,100,Tunggal,Sayur,Sayur
"Daun melinjo, segar",0.1073825503355705,0.06729475100942127,0.013,0.2265957446808511,0.221505376344086,88,Tunggal,Sayur,Sayur
"Daun mengkudu, kukus",0.06152125279642058,0.05114401076716016,0.015,0.1223404255319149,0.05161290322580645,100,Olahan,Sayur,Sayur
"Daun mengkudu, segar",0.06375838926174497,0.05383580080753701,0.017,0.1212765957446808,0.08387096774193549,90,Tunggal,Sayur,Sayur
"Daun ndusuk, segar",0.1767337807606264,0.02288021534320323,0.005,0.4127659574468085,0.2301075268817204,-,Tunggal,Sayur,Sayur
"Daun oyong, segar",0.01565995525727069,0.01345895020188425,0.001,0.05638297872340425,0.04301075268817205,65,Tunggal,Sayur,Sayur
"Daun pakis longgiho, segar",0.05145413870246085,0.02960969044414536,0.036,0.03297872340425532,0.04516129032258065,70,Tunggal,Sayur,Sayur
"Daun pakis wambateu, segar",0.05033557046979865,0.04576043068640646,0.012,0.07659574468085106,0.1032258064516129,70,Tunggal,Sayur,Sayur
"Daun pakis, segar",0.03467561521252796,0.06056527590847914,0.004,0.07340425531914894,0.04301075268817205,70,Tunggal,Sayur,Sayur
"Daun paku, segar",0.02348993288590604,0.04576043068640646,0.001,0.06914893617021277,0.0924731182795699,70,Tunggal,Sayur,Sayur
"Daun pangi,segar",0.1073825503355705,0.05248990578734859,0.006,0.1904255319148936,0.178494623655914,90,Tunggal,Sayur,Sayur
"Daun pare, segar",0.04586129753914989,0.03633916554508749,0.01,0.08936170212765958,0.06451612903225806,-,Tunggal,Sayur,Sayur
"Daun pepaya, segar",0.0883668903803132,0.107671601615074,0.02,0.1265957446808511,0.03225806451612903,71,Tunggal,Sayur,Sayur
"Daun pohpohan, segar",0.03243847874720358,0.03364737550471063,0.008,0.07340425531914894,0.05591397849462366,69,Tunggal,Sayur,Sayur
"Daun selasih, segar",0.06040268456375839,0.05383580080753701,0.005,0.1117021276595745,0.1139784946236559,53,Tunggal,Sayur,Lain-lain
"Daun semanggi, segar",0.04138702460850112,0.05921938088829072,0.005,0.09042553191489361,0.04086021505376344,90,Tunggal,Sayur,Sayur
"Daun simpur, segar",0.05033557046979865,0.04306864064602961,0.025,0.08085106382978723,0.03440860215053764,100,Tunggal,Sayur,Sayur
"Daun singkil, segar",0.06711409395973154,0.02691790040376851,0.01,0.1617021276595745,0.07096774193548387,70,Tunggal,Sayur,Sayur
"Daun singkong ambon, segar",0.1521252796420582,0.17092866756393,0.012,0.2680851063829787,0.2193548387096774,87,Tunggal,Sayur,Sayur
"Daun singkong ampenan, segar",0.04697986577181208,0.08344549125168237,0.011,0.07553191489361702,0.05161290322580645,87,Tunggal,Sayur,Sayur
"Daun singkong kopang, segar",0.0738255033557047,0.08479138627187079,0.006999999999999999,0.1138297872340425,0.0989247311827957,87,Tunggal,Sayur,Sayur
"Daun singkong, rebus",0.02572706935123042,0.04979811574697174,0.006,0.05106382978723404,0.03440860215053764,100,Olahan,Sayur,Sayur
"Daun singkong, segar",0.04697986577181208,0.08344549125168237,0.011,0.07553191489361702,0.05161290322580645,87,Tunggal,Sayur,Sayur
"Daun sintrong, segar",0.03131991051454139,0.03499327052489906,0.009000000000000001,0.06489361702127659,0.03655913978494624,94,Tunggal,Sayur,Sayur
"Daun talas, rebus",0.02125279642058165,0.01749663526244953,0.002,0.06276595744680852,0.03440860215053764,100,Olahan,Sayur,Sayur
"Daun talas, segar",0.05704697986577181,0.04037685060565276,0.004,0.1436170212765957,0.06451612903225806,80,Tunggal,Sayur,Sayur
"Daun tespong, segar",0.06935123042505593,0.03903095558546434,0.003,0.1478723404255319,0.04946236559139785,60,Tunggal,Sayur,Sayur
"Daun ubi kuning, segar",0.06040268456375839,0.04979811574697174,0.003,0.1180851063829787,0.1376344086021506,75,Tunggal,Sayur,Sayur
"Daun ubi merah, kukus",0.05369127516778524,0.04172274562584118,0.003,0.1382978723404255,0.03225806451612903,100,Olahan,Sayur,Sayur
"Daun ubi merah, segar",0.04474272930648769,0.04037685060565276,0.003,0.1148936170212766,0.03010752688172043,75,Tunggal,Sayur,Sayur
"Daun ubi putih, segar",0.04250559284116331,0.03768506056527591,0.002,0.08723404255319148,0.1032258064516129,75,Tunggal,Sayur,Sayur
"Daun ubi tinta, segar",0.05257270693512305,0.02288021534320323,0.001,0.1265957446808511,0.1634408602150538,75,Tunggal,Sayur,Sayur
"Eceng, segar",0.01230425055928411,0.01345895020188425,0.002,0.04042553191489361,0.03870967741935484,70,Tunggal,Sayur,Sayur
Gado-gado,0.1442953020134228,0.08209959623149395,0.032,0.2234042553191489,0.02365591397849463,100,Olahan,Sayur,Sayur
"Gambas (oyong), segar",0.01230425055928411,0.0107671601615074,0.002,0.04361702127659574,0.02795698924731183,85,Tunggal,Sayur,Sayur
"Genjer, segar",0.0302013422818792,0.02288021534320323,0.002,0.08191489361702127,0.05376344086021506,70,Tunggal,Sayur,Sayur
"Gudeg, sayur",0.1700223713646532,0.04441453566621803,0.092,0.1702127659574468,0.04946236559139785,100,Olahan,Sayur,Sayur
Gulai pakis,0.151006711409396,0.05383580080753701,0.114,0.06382978723404255,0.03010752688172043,100,Olahan,Sayur,Sayur
Gulai pliek,0.1879194630872483,0.09825033647375504,0.149,0.03404255319148936,0.0,100,Olahan,Sayur,Sayur
"Jagung muda / semi, segar",0.0302013422818792,0.02960969044414536,0.001,0.07872340425531915,0.04086021505376344,100,Tunggal,Sayur,Sayur
Jamur encik,0.3221476510067114,0.126514131897712,0.011,0.6595744680851063,0.0,95,Tunggal,Sayur,Sayur
"Jamur kuping, kering",0.319910514541387,0.2153432032301481,0.009000000000000001,0.6872340425531914,1.0,100,Tunggal,Sayur,Sayur
"Jamur kuping, segar",0.0145413870246085,0.05114401076716016,0.006,0.009574468085106383,0.1096774193548387,100,Tunggal,Sayur,Sayur
"Jamur merang, segar",0.02460850111856823,0.04710632570659488,0.002,0.0425531914893617,0.05161290322580645,100,Tunggal,Sayur,Sayur
Jamur sagu,0.04474272930648769,0.02557200538358008,0.032,0.02978723404255319,0.02150537634408602,95,Tunggal,Sayur,Sayur
"Jamur tiram, segar",0.02460850111856823,0.02557200538358008,0.001,0.05851063829787234,0.07741935483870968,100,Tunggal,Sayur,Sayur
"Jantung pisang, segar",0.02684563758389262,0.0161507402422611,0.003,0.07553191489361702,0.06881720430107528,25,Tunggal,Sayur,Sayur
"Jengkol, segar",0.2058165548098434,0.07267833109017498,0.003,0.4329787234042554,0.03225806451612903,95,Tunggal,Sayur,Sayur
"Jotang, segar",0.029082774049217,0.02557200538358008,0.003,0.07553191489361702,0.07526881720430108,70,Tunggal,Sayur,Sayur
"Kabau, segar",0.1364653243847875,0.0901749663526245,0.003,0.2680851063829787,0.06236559139784947,95,Tunggal,Sayur,Sayur
